,Unnamed: 0,Average_Temperature,Precipitation,Humidity,Wind_Speed,Soil_Type,Soil_pH,Soil_Nitrogen,Soil_Potassium,Soil_Calcium,Soil_Moisture,Variety,Fertilizer_Type,Fertilizer_Quantity,Irrigation_Type,Irrigation_Frequency,Location,Yield,Quantity,Cost_of_Production,Market_Price
0,0,,189.63234280394903,65.55398786515859,15.381635702724362,,6.498371008375118,32.76331412253991,25.65008132831964,22.997175740572317,61.3351764118156,brown,Organic,59.43842064307984,Flood,5.0,South India,1927.474509598413,Grade A,2992.171724919652,54.11419959031471
1,1,34.50714306409916,157.21927326882408,76.25702842135074,14.58363755259462,Loam,7.319253638873185,38.48260591072126,17.307892843578347,28.637628960803788,51.86110290886344,Basmati,Organic,46.57061914276342,Flood,3.0,North India,1883.4811225750425,Grade A,3322.8549271451893,55.8342209067649
2,2,32.31993941811405,111.90552325726554,76.17720415313741,5.512841316128714,Loam,6.838400525876157,30.198099584856656,25.250518931824352,19.70817114772541,60.17915801928702,brown,Organic,116.3207097547846,Flood,3.0,South India,1652.2282139168667,Grade B,2614.0836967751275,69.99122913465493
3,3,30.98658484197037,212.7590039413897,81.96674659228684,11.824956552523126,Loam,7.158573598633511,31.90384416988421,17.344078113604667,22.997175740572317,65.17794962958675,Sona Masoori,Chemical,69.06077387446916,Flood,5.0,South India,2166.708855396457,Grade C,2434.821019300789,65.29908898456483
4,4,26.560186404424364,186.94623451077587,76.17720415313741,12.60391237571714,Silt,7.257957800564535,43.34971686263981,21.74413151131504,19.074497719115545,54.85769019896641,brown,Chemical,75.90839737802568,Flood,2.0,South India,1784.2882890954593,Grade C,3779.26159367546,50.85310017318941
5,5,26.559945203362027,159.45067444838,79.76350100132152,12.97645561793801,Clay,6.643544704096644,30.81009011342841,17.856839296286637,22.997175740572317,69.74306654169476,Sona Masoori,Organic,46.22109434259468,Flood,5.0,West India,2085.778270931048,Grade A,2862.258556789812,40.310367894181
6,6,25.580836121682,232.1854368987685,80.76829693553557,16.603447384546648,,8.30102441933485,34.399765363158735,28.84147294048737,17.769486860210538,79.93248167030602,Basmati,Organic,69.9798630022027,Flood,4.058909010206064,South India,2495.924529436292,Grade C,2603.4121511471503,58.78522221381684
7,7,37.96441723917905,214.5074485846338,85.47586954695959,15.67205093453757,Clay,6.360854820641981,42.80282274792029,19.12504227672305,29.043681706080417,63.55218427944332,Sona Masoori,Organic,65.6210891074651,Sprinkler,7.517377640942228,East India,2495.924529436292,Grade A,2737.7340178347804,61.11740278384323
8,8,31.011150117432088,154.16116645564728,67.49004026577558,31.941488021444368,Silt,6.133893175582239,39.15442700535055,22.83718746376052,29.043681706080417,60.64185670190638,Jasmine,Chemical,65.6210891074651,Sprinkler,5.0,East India,1927.474509598413,Grade C,2274.4029819263187,59.52408070430139
9,9,30.071103373048867,195.143901677672,74.68274890929422,15.010679651397513,Silt,6.369191921717423,26.244064523294057,32.91349555237557,27.464237565826025,65.28814449850677,Sona Masoori,Chemical,74.5061558841004,Flood,3.0,East India,1927.474509598413,Grade B,2645.083017786912,69.03587053489639
